Date of event,Name of event,At approximately what time did you arrive at this event?,At approximately what time did you leave this event?,Please rate your overall satisfaction with this event.,Please elaborate on your rating above - why do you feel this way?,"If this event were to happen again in the future, what could we do to improve your experience?","Based on your impression of the event prior to attending (from marketing, communications, word of mouth, etc.) how well did the event meet your expectations?",What could we have done differently to meet your expectations?,How safe did you feel at the event?,Did you feel the event was inclusive?,What could we have done differently to make the event more inclusive?,How fun did you feel the event was?,Please provide any additional feedback you have about this event that has not been shared in your answers to previous questions.,How satisfied are you with social life at Bates overall?,Please elaborate on your rating above - why do you feel this way?,"Please provide ideas, if any, for ways to improve social life on campus, or for events or activities that you would like to attend on campus.",Class year
6-Apr-24,Gala,10:30 PM,12:00am (midnight),4 - Satisfied,The chocolate fountain and music and photo booth were very fun!,,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,5 - Highly satisfied,Close friends that I feel very connected to!,,2024
6-Apr-24,Gala,10:00 PM,11:00 PM,2 - Dissatisfied,"I did not have a good time. The music was too loud. There were not a lot of food options. What went well, however, was the entrance system, we waited less than 5 minutes, which was great.  ","LOWER THE MUSIC VOLUME! I cannot stress this enough. It makes the event slightly unbearable and hard to attend. In addition, I would increase the food options. ",2 - Met some of my expectations,Honestly nothing I haven't already mentioned.,4 - Safe,Yes,,2 - Not fun,,2 - Dissatisfied,Not something I think I can elaborate on as it is an extremely personal questions.,,2025
11-May-24,Block Party,11:00 PM,11:15 PM,4 - Satisfied,Even though I didn;t stay long I would have stayed longer if there were a few more people around. I think it was a cold night and that dissuaded people but it was a rlly good idea. And good pizza,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"Mostly super fun except when the lewiston police shut down off campus parties, which i feel can be unnecessary and frightening, especially given that i can legally drink in a home off campus. ",,2025
6-Apr-24,Gala,10:15 PM,11:45 PM,4 - Satisfied,The event was run smoothly,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,every event is pretty inclusive and open to everyone,,2025
6-Apr-24,Gala,9:45 PM,11:30 PM,3 - Neither satisfied nor dissatisfied,"Beautiful food, great decoration, kind people. But the music was just awful.",I would change the music so it's not just for white people.,2 - Met some of my expectations,Would have tried getting a good dj who played music for more than just white people.,5 - Very safe,No,Play different music,2 - Not fun,N/A,3 - Neither satisfied nor dissatisfied,n/a,,2024
6-Apr-24,Gala,11:00 PM,12:15 AM,5 - Highly satisfied,"Good music, yummy food, lots of water",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I feel I have good close friendships but lack a stable group of people to hang out with.,,2025
6-Apr-24,Gala,10:00 PM,11:30 PM,4 - Satisfied,I thought this event was great!,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,I am happy with my social life at Bates.,,2024
6-Apr-24,GALA,11:15 PM,1:15 AM,5 - Highly satisfied,"it was really fun! lots of people, nice tables, good food, good band, fun decorations",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,"the ice sculptures made me feel uncomfortable, i would prefer they stop having those",4 - Satisfied,I have awesome friends but don't go to parties really (there's not a whole lot of parties outside of the Bates sponsored ones),,2027
6-Apr-24,Gala,10:30 PM,11:00 PM,3 - Neither satisfied nor dissatisfied,Should have had pizza,Pizza,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,It’s alright,,2026
6-Apr-24,Gala,11:00 PM,12:00am (midnight),4 - Satisfied,"The band was really good. They read the crowd well, played relevant and fun music, and were extremely talented. Their transitions between songs felt really seamless and maintained the energy in the gray cage. My only downside was the lack of savory food options. I may have just been too late, but I could only really find dessert options (which were really good). ",,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,"I have a strong social support network - as a junior, many of my friends are abroad but that is to be expected. ",,2025
6-Apr-24,Gala,10:30 PM,12:30 AM,4 - Satisfied,The food provided was thoughtful and the music was better than at other times!,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,5 - Highly satisfied,I am happy with my friend group as well as the amount of extracurricular activities I am involved in.,,2027
6-Apr-24,Gala,10:30 PM,12:30 AM,3 - Neither satisfied nor dissatisfied,music needs to be more relevant,better music,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,more dances,,2024
6-Apr-24,gala,10:15 PM,1:00 AM,5 - Highly satisfied,"i think this was the best bates dance i've been to so far. I enjoyed the theme, the music, the food, and overall it was just a lot of fun",,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,"i'm not sure i can specify, but I just think overall social life is pretty comfortable and fun",,2026
6-Apr-24,Gala,10:00 PM,11:30 PM,4 - Satisfied,I was satisfied with the way the dance was organized. I do wish there was better music.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,Bates does a good job at holding these events to bring people together in a fun way.,,2026
14-Sep-24,It’s a great night to be a bobcat,11:15 PM,12:45 AM,5 - Highly satisfied,It was so fun I saw my friends and the music was great a the good was yummy.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,bates events always are good.,,2027
14-Sep-24,Great Night to Be a Bobcat,10:00 PM,11:45 PM,4 - Satisfied,"It was fun, though drink options weren't broad enough for my taste (I didn't like any). Food was great!",,2 - Met some of my expectations,Better variety of drinks,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,There's an ever-growing range of social events and that's nice!,,2025
14-Sep-24,It's a Great Night to be a Bobcat!,9:00 PM,10:30 PM,5 - Highly satisfied,"The happy hour for 21+ students was great! Very good vibes and it was nice to be in a more relaxed, adult environment while being able to hang out with friends.",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,Great event! I would love to see more 21+ happy hours at the den in the future. Hope y'all give the employees a solid bonus for staying up late for us.,4 - Satisfied,"Great people, lots of stuff to do.",,2026
14-Sep-24,Great night to be a bobcat,10:00 PM,10:45 PM,4 - Satisfied,it was good,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I am satisfied with it,I like when there is food,2027
14-Sep-24,Great night to be a bobcat,10:30 PM,11:30 PM,5 - Highly satisfied,Free mozzarella sticks,,3 - Met my expectations,,4 - Safe,Yes,,3 - Neither fun nor not fun,,5 - Highly satisfied,All the things I find that I can do I feel comfortable making friends,,2027
16-Nov-24,Snowball,11:30 PM,1:00 AM,4 - Satisfied,"Good venue organization, Photo Booth was great, spacious and lights were perfect",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,Student DJs and more crowd control for the DJ,5 - Highly satisfied,The people are great here!!,Curbcats collaborations with clubs/organizations!,2028
14-Sep-24,Great night to be a Bobcat,9:15 PM,10:30 PM,4 - Satisfied,I didn’t do anything there,,3 - Met my expectations,,4 - Safe,Yes,,3 - Neither fun nor not fun,,3 - Neither satisfied nor dissatisfied,Nothing happened,,2025
14-Sep-24,A great night to be a bobcat,11:15 PM,12:00am (midnight),4 - Satisfied,"The food was great and the music was solid. It was a little cold that night, however.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,They have good events at solid times.,,2027
14-Sep-24,It's a Great Night to be a Bobcat!,10:45 PM,11:30 PM,4 - Satisfied,Yummy food lack of peope,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,Fun but could be better,,2027
14-Sep-24,Great night to be a bobcat,11:15 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,I wasn’t in the dancing mood but Jenga was fun,Maybe some more lawn games,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,I really like my friends and frisbee,,2028
14-Sep-24,A Great Night to Be a Bobcat,10:45 PM,12:15 AM,4 - Satisfied,"I liked the happy hour, the music selection, and the free food. The music was a little too loud for me, however, which lowered my enjoyment",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,It’s pretty good.,More 21+ events in the den,2026
16-Nov-24,Snowball,11:00 PM,12:30 AM,4 - Satisfied,I had fun good music,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I like my friends and the other people I interact with,,2028
14-Sep-24,It’s a Great Night to be a Bobcat,10:30 PM,11:30 PM,4 - Satisfied,I had a great time at the event and I thought it was really well done I am just not a huge dj dance floor party person.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,I feel like there is always a lot of events going on and it is very easy to find when and where things are happening.,,2028
14-Sep-24,It's a Great Night to be a Bobcat!,10:00 PM,11:45 PM,4 - Satisfied,"The food and music were great and it was a good way to see my friends, however not a huge portion of the student body went, so I didn't see many upperclassmen there.",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,"I feel very included in many social settings, and I have a better social life than I did in high school. I have more friends, and I'm not completely occupied by school work so I have time to be with my friends.",,2028
14-Sep-24,Its a Great Night to be a Bobcat!,10:30 PM,1:00 AM,4 - Satisfied,"I had a blast, just wish I had remembered to request more songs. ",,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,I love it here!,,2028
26-Oct-24,Halloween dance party,10:00 PM,1:00 AM,4 - Satisfied,I enjoyed dancing and taking photo  But music was a little to loud for me and there were lots of pizza on the ground,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,I really like your happy hour because you give us alcoholic beverages in a limited space and time for over 21 years old students! But I know so many students under 20 were drinking that day…and I can smell drugs in the basement of my dorm.,5 - Highly satisfied,"There so many events to connect with people   Especially as an international students, I appreciate Dean Reese! He connects us with friends, and invites to various events and I feel the international students community is like a big family","I want to attend events related to music, arts, dance!",2025
14-Sep-24,It's a Great Night to be a Bobcat!,11:00 PM,12:00am (midnight),3 - Neither satisfied nor dissatisfied,"The music was not my taste, it also wasn't a good remix.",Do a bit of research on this current generations music taste and nostalgic songs to add excitement to the atmosphere.,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,2 - Dissatisfied,"Everyone has their own group and stick like gum, some of them are too judgemental and dislike speaking to new people.","N/A this is a individual process, and in this campus there more introverted people",2027
14-Sep-24,Library Dance,10:45 PM,12:30 AM,5 - Highly satisfied,"Very very fun, more than I anticipated",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,Ups and downs but it’s about finding ur group,,2028
14-Sep-24,Dance at Arcade of library,10:15 PM,12:00am (midnight),5 - Highly satisfied,I really like the atmosphere when people dancing together. I feel more closed to the people in Bates community. The Happy hour in Den is the best part!^^,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,Working here ad a learning associate I feel very comfortable with the students and staff. They are friendly and supportive.,,Unknown
14-Sep-24,It’s a Great Night to be a Bobcat!,11:00 PM,11:30 PM,4 - Satisfied,The food was great!,,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,I have a great group of friends.,,2025
14-Sep-24,It’s a Great Night to be a Bobcat,9:00 PM,10:00 PM,5 - Highly satisfied,I think it was well organized and the free food was a nice touch.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,It is a good time with good people.,,2026
29-Mar-25,Gala,11:15 PM,12:15 AM,4 - Satisfied,The food was great and I had a fun time with friends,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I've found a good group of friends, but at times social groups do feel exclusive ",,2025
29-Mar-25,Gala,11:00 PM,12:30 AM,4 - Satisfied,"The live music was 100/10, but the food was just okay.",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,It's good here,,2025
16-Nov-24,Snowball,11:00 PM,12:45 AM,4 - Satisfied,"It was the same as the other events - just food and dancing. Music was a bit random, and the visuals behind the DJ were odd. Water also ran out very quickly. ",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,"The event was fun because of the friends I went with, but i saw some people go who were just standing on the sidelines or dancing by themselves. I don't know how this would be changed. ",4 - Satisfied,"If you have friends the social life is fun, but it is hard to meet people without being in a sport or group. ",Perhaps some parties that are less clubby and more geared towards food and socializing.,2028
29-Mar-25,gala,10:00 PM,11:30 PM,5 - Highly satisfied,it was good decorations were awesome food supposedly was good but i forgot to eat any,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,lots of opportunity,,2028
14-Sep-24,It's a Great Night to be a Bobcat,10:30 PM,11:00 PM,4 - Satisfied,I really liked the free food provided. I wish there were bouncy castles like last year.,,2 - Met some of my expectations,Added bouncy castles and more activities.,5 - Very safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,Its good but there could be more campus events,Add more activities like bouncy castles,2027
14-Sep-24,It’s a great night to be a bobcat,9:00 PM,11:00 PM,4 - Satisfied,"Liked the free food and dance floor, wish it was a bigger space",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,Very happy with my friends and everyone around campus. Open nice environment,,2027
14-Sep-24,Great Night to be bobcat,10:15 PM,12:15 AM,2 - Dissatisfied,The music really White. Could have done better with diversity. Could have taken song requests.,By giving song suggestions,2 - Met some of my expectations,"More fun activities, more lights, more diverse music, more music like DJ ( Which is more only sound rather than lyrics of the song) there was no different types of songs, felt more like country music or 2000s music. Couldn't vibe ",3 - Neither safe nor unsafe,No,"Inclusive songs, more people of color",3 - Neither fun nor not fun,,4 - Satisfied,Found couple of friends with similar interests through Bobcats programs,.,2028
14-Sep-24,Great Night to be a Bobcat,10:15 PM,12:15 AM,4 - Satisfied,The music had less diversity and the location could have been better.,,3 - Met my expectations,,4 - Safe,Yes,,1 - Very not fun,,1 - Highly dissatisfied,There should be more events catering to the social life here.,,2028
14-Sep-24,Great Night to Be a Bobcat,10:30 PM,12:30 AM,5 - Highly satisfied,"The music was awesome, there was free food and it was nice to have something outside while the weather is still nice.",,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,I believe that the people in charge are getting much better at making the events more exciting for the student body,,2027
29-Mar-25,Gala,10:00 PM,11:45 PM,3 - Neither satisfied nor dissatisfied,"Lots of fun, good dance set, food was good, Photo Booth was efficient and line wasn't too long",Different kinds of drinks maybe?,4 - Exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,3 - Neither satisfied nor dissatisfied,"Not in a great location, information asymmetry- hard to find information about opportunities at bates - socially stratified- people tend to stick to their own clusters ","would benefit from having more frequent dances, centralized hub that is not just bates today for opportunities around campus ",2027
14-Sep-24,It’s a great night to be a Bobcat,11:30 PM,12:30 AM,5 - Highly satisfied,Great music and free food. When else could you ask for?,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,I have found it easy to meet new people because the culture at bates fosters a  very inclusive and welcoming environment.,,2028
14-Sep-24,It's a Great Night to be a Bobcat,9:45 PM,11:00 PM,4 - Satisfied,Great use of Den for 21+ pre-event; good ambience,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,Social life at Bates has improved greatly and seems to be headed in the right direction but there is still a ways to go,,2025
14-Sep-24,It’s a great night to be a bobcat,11:00 PM,12:15 AM,3 - Neither satisfied nor dissatisfied,I felt this way because of the music choices.,Include more rap songs.,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I’m already making close friends and establishing a friend group, the OIE is a great space to meet with others who are like me and there are a lot of events that give you chances to meet new people or further connections with your friends.",,2028
14-Sep-24,Great Night to be a bobcat,10:15 PM,10:30 PM,4 - Satisfied,Food was great,,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,Don’t have time for all the social events,,2027
26-Oct-24,Halloween,10:45 PM,11:15 PM,4 - Satisfied,Good event,,4 - Exceeded my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,Frequency of events is good,,2027
14-Sep-24,It's a Great Night to be a Bobcat!,11:00 PM,11:30 PM,4 - Satisfied,good food,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,"maybe move the event inside next year, or bring back bateschella",4 - Satisfied,"its good enough for a small liberal arts skl, people have their own parties and bates hosted events and thats enough for me",more events!,2027
14-Sep-24,"""Its a Great Night to be a Bobcat!""",10:00 PM,11:30 PM,5 - Highly satisfied,"This was an amazing event!! It was very engaging, between the music and the tent activities! The food was also AMAZING!!! As a senior this was the first time we have had one of these library arcade events and I was so happy to have the experience :)",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,I feel like the social life at Bates provides an opportunity for everyone to experience the campus life. Everyone has a place to feel connected. At all events I have felt that there was something for everyone to do no matter what your background is,"More of these dances! Including the den was so smart too, not many get to get t the den with its shortened hours and this brings more popularity!",2025
29-Mar-25,Gala,11:00 PM,12:45 AM,4 - Satisfied,Bigger budget than most Bates dances,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,Events aren't really frequent enough to fill the lack of things to do in a relatively rural area,,2028
14-Sep-24,It's a great night to be a bobcat,11:00 PM,12:30 AM,4 - Satisfied,"It was fun to attend this event, however I would have hoped that the dj played some different music that was a little more inclusive. ",,2 - Met some of my expectations,Had a more variety of food and drinks,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"I've had a great time meeting people, however I think it would be beneficial to have some more events where everyone, especially first years, could get to know each other","During Orientation week, I think it would be nice if there were two or three more events where the first years got to socialize. Additionally, I think it would be nice to have some more events for the entire school along with Bowdoin and Colby to become more familiar with other students our age. ",2028
29-Mar-25,Gala,10:00 PM,11:15 PM,4 - Satisfied,"It was fun, I enjoyed it and it was a lot of fun",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I enjoy social life here,,2028
14-Sep-24,It's a Great Night to be a Bobcat 2024,10:45 PM,12:15 AM,4 - Satisfied,It was fun but there were not many people also there should have been more games,,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,4 - Satisfied,Im happy with my freinds I wish freinds groups and parties were more inclusive though,its hard because you want people to attend but people just want to drink idk thats life,2027
14-Sep-24,It's A Great Night to be A Bobcat!,10:45 PM,12:45 AM,5 - Highly satisfied,It was fun! I enjoyed the music.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"Bates struggles with inclusivity within the student body, but Campus Life does an excellent job at mitigating that with it's events. ",,2027
14-Sep-24,It’s a Great Night to be a Bobcat,10:45 PM,11:45 PM,4 - Satisfied,i like that there were a diverse amount of activities so you could dance or eat or play games or sit and chat. the music seemed to not attract people for a bit. but i felt really comfortable there and overall i had a ton of fun and thought it was well thought out.,,2 - Met some of my expectations,the event itself didn’t meet my expectations but i had more fun than i thought i was going to be:),5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,"the size is good, people are nice, GOOD food, lots of good study spots, easy to reach out to people. ",,2028
14-Sep-24,It's A Great Night to be a Bobcat!,11:00 PM,12:15 AM,4 - Satisfied,Overall a good event. I wish there were more people and a few more food options. Also more activities maybe would have been nice.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I wish there were more events scheduled but the ones that exist are fun,,2027
14-Sep-24,It's a Great Night to be a Bobcat!,9:30 PM,11:30 PM,5 - Highly satisfied,"The food, music, and games at the event made it a really fun experience.",,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,"Bates does a great job organizing events every month or so to continue to have social activities. Also, many of the clubs I am in have great events.",,2028
14-Sep-24,Great Night to be a Bobcat,10:30 PM,11:45 PM,4 - Satisfied,"Nice to have it outside, but it would have been better if there was a theme and it was less spread out so eveything could feel more cohesive",,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"Campus life run events are fun but not the most fun things that happen at bates. further, parties keep getting shut down before 11pm even though quiet hours dont start until one so it can feel difficult to have fun here socially",,2026
14-Sep-24,Great day to be a bobcat,10:30 PM,11:00 PM,4 - Satisfied,free food!!,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,i feel like it’s good and it’s nice that bates offers so many events for students.,,2027
14-Sep-24,It’s a Great Night to Be a Bobcat,10:30 PM,12:00am (midnight),4 - Satisfied,The Curb Cats truck was amazing. The workers were super nice and the mozzarella sticks were the best they’ve ever been! The lights were such nice colors with all the flashing colors.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,I really liked how this event was outside unlike a lot of the other Bates dances.,3 - Neither satisfied nor dissatisfied,"There are a lot of parties, but not as many get-to-know-you school events, like school jeopardy. I also love the dog events and hope to see more of them.","The first years have a lot of get to know you events, but I think the sophomores, juniors, and seniors would also enjoy these! We should have more musicals as well, as those are super fun to go to!",2027
14-Sep-24,It's a Great Night to be a Bobcat,10:45 PM,11:30 PM,5 - Highly satisfied,It was so much fun and the food was good. I liked all the songs that were played,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,"There are school sponsored events every week that I have already begun to think of as traditions. The people are very nice and inclusive, so finding social events has been easy as well.",,2028
15-Sep-24,It's a Great Night to be a Bobcat,11:15 PM,12:00am (midnight),5 - Highly satisfied,"The food was great, I liked the music, and I got to have a very fun time with my friends.",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,There are less opportunities for underclassmen to have social experiences outside of academic or club settings.,Maybe some underclassmen mixers or events.,2028
14-Sep-24,Great Night to be a Bobcat,8:45 PM,12:15 AM,5 - Highly satisfied,"I loved the fact that arriving early meant that I got a free drink and koozie, and had so much fun dancing with my friends!",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,People here are kind!,,2025
14-Sep-24,It's a Great Night to be a Bobcat!,11:45 PM,12:30 AM,4 - Satisfied,It was fun to have pizza and the music was good but I think the space could have been better,,3 - Met my expectations,,5 - Very safe,Yes,,3 - Neither fun nor not fun,,2 - Dissatisfied,It is so small and just a different culture,,2028
14-Sep-24,It’s a Great Night to be a Bobcat,10:15 PM,11:00 PM,4 - Satisfied,the food was good and it was well organized,,5 - Greatly exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I feel like there is a decent amount of events that are fun and thoughtfully planned,,2028
14-Sep-24,It's a Great Night to be a Bobcat!,10:15 PM,10:45 PM,4 - Satisfied,I just wanted to get some food and the food was good so I got out of the event what I wanted.,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,5 - Highly satisfied,I have a strong support network and many friends that I feel very close with. I feel very included by these people and always see friendly faces around campus.,"I think for first years hosting some large orientation style events (like field games), once or twice after orientation could be valuable.",2026
26-Oct-24,Halloween Dance,11:00 PM,11:30 PM,3 - Neither satisfied nor dissatisfied,"I feel like I knew exactly what to expect at these, so it felt a little bit old.","Maybe alcohol for 21+ students, like is being phased into other events.",3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,"Friend groups are tight, but I wish there was more interaction between the ""bubbled"" (i.e., athletes and non-athletes).",,2025
14-Sep-24,great night to be a bobcat,10:00 PM,11:00 PM,4 - Satisfied,it was fun! the food was great,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,they are fun and inclusive--what if we had even more!,"more local concerts, more use of the food truck",2028
26-Oct-24,Halloween Dance,11:00 PM,11:45 PM,4 - Satisfied,"I liked the fact that there was free food. However, It was hard to find the exit which was kind of annoying.",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,The events are fun places to hangout with my friends. I'm pretty satisfied with the organization and everything.,"during orientation week, I will say that all of the dodgeballs were the worse quality kind and there weren't enough of them. ",2028
16-Nov-24,Snowball,11:15 PM,1:00 AM,4 - Satisfied,"it was great, good music",,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"it sometimes feels a bit empty, but events are usually great",,2028
14-Sep-24,great day to be a bobcat,10:30 PM,11:30 PM,4 - Satisfied,the bobcat curb was really good and fun to go and hang out with fiends and seeing people out and enjoying their time was nice to see,,3 - Met my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,parties are very interesting and enjoyable and pretty frequent on special occasions,,2027
14-Sep-24,Great night to be a bobcat,10:15 PM,11:15 PM,4 - Satisfied,The mozz sticks were very good,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,"It’s alright, would be better if Den was open more or there were more food events",More fun games and food events,2025
29-Mar-25,Gala,10:30 PM,12:00am (midnight),2 - Dissatisfied,"While to food and company was good and the band was skilled, it wasn't what I expected/hoped for the atmosphere and music. Don't get me wrong the band was skilled. But I was picturing something more formal for music, not the massive speakers making it difficult to think throughout all of grey cage. I'm wearing a suit, I wasn't expected it to be closer to a rave than ball or GALA.",At least for some of the time slow down and lower the volume of the music. Maybe pick more laid back or formal songs.,1 - Did not meet my expectations,At least for some of the time slow down and lower the volume of the music. Maybe pick more laid back or formal songs. or change communication to better indicate the music at the event.,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,Have good friends but it's hard to find time to spend with them.,Extend the length of semesters but lighten the courseload on a day-to-day basis.,2028
26-Oct-24,Halloween Dance,10:30 PM,11:45 PM,4 - Satisfied,"meh music, great vibe, love the food",,5 - Greatly exceeded my expectations,,4 - Safe,Yes,,5 - Very fun,,4 - Satisfied,"tough because it's a small campus, but overall happy with the social events",more dances by the school,2028
14-Sep-24,It’s a Great Night to be a Bobcat,10:45 PM,11:30 PM,5 - Highly satisfied,"People were there, pizza was good.",,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I have friends to do things with.,,2025
14-Sep-24,It's a Great Night To Be A Bobcat,10:45 PM,1:00 AM,4 - Satisfied,I really liked the music and food!,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,Many events done by clubs and campus life events are good,Events during the day on weekends?,2026
14-Sep-24,Great Night to be a bobcat,10:00 PM,12:30 AM,4 - Satisfied,it was very fun! just the location was awkward,,3 - Met my expectations,,5 - Very safe,Yes,,5 - Very fun,,5 - Highly satisfied,i feel very involved,,2027
26-Sep-24,Trivia,7:15 PM,9:00 PM,4 - Satisfied,It was fun,,3 - Met my expectations,,5 - Very safe,Yes,,4 - Fun,,3 - Neither satisfied nor dissatisfied,Eh,,2026
25-Sep-24,Painting,6:30 PM,7:30 PM,5 - Highly satisfied,It was so stress reliving and the instructor was very helpful.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I love the community,,2027
14-Sep-24,Great night to be a bobcat,11:15 PM,12:45 AM,4 - Satisfied,The dance was fun and it was great to have food there. There were not as many people there as I thought there would be.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,5 - Very fun,,4 - Satisfied,"People are very nice and the community is good, but it seems like there’s not much going on on Friday or Saturday nights. ",More events on Friday and Saturday nights,2028
14-Sep-24,Great Night to be a Bobcat,9:30 PM,11:00 PM,4 - Satisfied,$4 canned wine <3,,3 - Met my expectations,,4 - Safe,Yes,,4 - Fun,,4 - Satisfied,I wish people were more willing to engage in activities outside of their comfort zone,,2025
26-Oct-24,Halloween dance,10:30 PM,11:45 PM,4 - Satisfied,Loved the music and seeing everyone dressed up was super fun.,,4 - Exceeded my expectations,,5 - Very safe,Yes,,4 - Fun,,4 - Satisfied,I think the events put on by campus safety are very enjoyable and they do a great job at organizing them and getting people to come.,,2027
